Name,IATA,ICAO,Country
unknown,,,
private flight,,,
1time airline,1T,RNX,South Africa
40-mile air,Q5,MLA,United States
ansett australia,AN,AAA,Australia
abacus international,1B,,Singapore
aigle azur,ZI,AAF,France
aloha airlines,AQ,AAH,United States
american airlines,AA,AAL,United States
asiana airlines,OZ,AAR,Republic of Korea
askari aviation,4K,AAS,Pakistan
afriqiyah airways,8U,AAW,Libya
allegiant air,G4,AAY,United States
absa - aerolinhas brasileiras,M3,TUS,Brazil
astral aviation,8V,ACP,Kenya
air tindi,8T,,Canadian Territories
ada air,ZY,ADE,Albania
adria airways,JP,ADR,Slovenia
air europa,UX,AEA,Spain
aero benin,EM,AEB,Benin
aegean airlines,A3,AEE,Greece
air europe,PE,AEL,Italy
alaska central express,KO,AER,United States
aces colombia,,AES,Colombia
astraeus,5W,AEU,United Kingdom
aerosvit airlines,VV,AEW,Ukraine
air italy,I9,AEY,Italy
alliance airlines,QQ,UTY,Australia
ariana afghan airlines,FG,AFG,Afghanistan
aeroflot russian airlines,SU,AFL,Russia
air bosna,JA,BON,Bosnia and Herzegovina
air france,AF,AFR,France
air caledonie international,SB,ACI,France
air salone,2O,,Sierra Leone
air cargo carriers,2Q,SNC,United States
air namibia,SW,NMB,Namibia
aerolitoral,5D,SLI,Mexico
air glaciers,7T,AGV,Switzerland
aviogenex,,AGX,Serbia
aeroper,PL,PLI,Peru
atlas blue,8A,BMM,Morocco
azerbaijan airlines,J2,AHY,Azerbaijan
avies,U3,AIA,Estonia
airblue,ED,ABQ,Pakistan
airlift international,,AIR,United States
air berlin,AB,BER,Germany
air india limited,AI,AIC,India
air bourbon,ZB,BUB,Reunion
air atlanta icelandic,CC,ABD,Iceland
air tahiti nui,TN,THT,France
arkia israel airlines,IZ,AIZ,Israel
air jamaica,JM,AJM,Jamaica
air one,AP,ADH,Italy
air sahara,S2,RSH,India
air malta,KM,AMC,Malta
air japan,NQ,AJX,Japan
air korea co. ltd.,,AKA,Republic of Korea
air kiribati,4A,AKL,Kiribati
america west airlines,HP,AWE,United States
air wisconsin,ZW,AWI,United States
tatarstan airlines,U9,TAK,Russia
allegheny commuter airlines,,ALO,United States
air sunshine,,RSI,United States
air libert,VD,,France
air malawi,QM,AML,Malawi
air sicilia,BM,,Italy
ata airlines,,AMT,United States
air macau,NX,AMU,Macao
amc airlines,,AMV,Egypt
air seychelles,HM,SEY,Seychelles
aeroméxico,AM,AMX,Mexico
all nippon airways,NH,ANA,Japan
air nostrum,YW,ANE,Spain
air niugini,PX,ANG,Papua New Guinea
air arabia,G9,ABY,United Arab Emirates
air canada,AC,ACA,Canada
air baltic,BT,BTI,Latvia
air nippon,EL,ANK,Japan
airnorth,TL,ANO,Australia
air north charter - canada,4N,ANT,Canada
air new zealand,NZ,ANZ,New Zealand
alitalia express,XM,SMX,Italy
aero flight,GV,ARF,Germany
arrow air,JW,APW,United States
aerocondor,2B,ARD,Portugal
aires,4C,ARE, S.A.
aerolineas argentinas,AR,ARG,Argentina
alaska airlines,AS,ASA,ALASKA
air sinai,4D,ASD,Egypt
atlantic southeast airlines,EV,ASQ,United States
astrakhan airlines,OB,ASZ,Russia
air tanzania,TC,ATC,Tanzania
air burkina,2J,VBW,Burkina Faso
airlines of tasmania,FO,ATM,Australia
air saint pierre,PJ,SPM,France
austrian airlines,OS,AUA,Austria
air southwest,,WOW,United Kingdom
augsburg airways,IQ,AUB,Germany
atur,,TUR,Ecuador
abu dhabi amiri flight,MO,AUH,United Arab Emirates
aeroflot-nord,5N,AUL,Russia
aurigny air services,GR,AUR,United Kingdom
austral lineas aereas,AU,AUT,Argentina
avianca - aerovias nacionales de colombia,AV,AVA,AVIANCA
air vanuatu,NF,AVN,Vanuatu
air bangladesh,B9,BGD,Bangladesh
air mediterranee,DR,BIE,France
air moorea,,TAH,France
aeroline gmbh,7E,AWU,Germany
air wales,6G,AWW,United Kingdom
air caraïbes,TX,FWI,France
air india express,IX,AXB,India
air exel,XT,AXL,Netherlands
airasia,AK,AXM,Malaysia
atlant-soyuz airlines,3G,AYZ,Russia
alitalia,AZ,AZA,Italy
amaszonas,Z8,AZN,Bolivia
air zimbabwe,UM,AZW,Zimbabwe
aserca airlines,R7,OCA,Venezuela
rossiya-russian airlines,FV,SDM,Russia
american eagle airlines,MQ,EGF,United States
ad aviation,,VUE,United Kingdom
air ivoire,VU,VUN,Ivory Coast
air botswana,BP,BOT,Botswana
air foyle,GS,UPA,United Kingdom
air tahiti,VT,VTA,French Polynesia
air via,VL,VIM,Bulgaria
africa west,FK,WTA,Togo
atran cargo airlines,V8,VAS,Russian Federation
air china,CA,CCA,China
aero condor peru,Q6,CDP,Peru
air chathams,CV,CVA,New Zealand
air marshall islands,CW,CWM,Marshall Islands
access air,ZA,CYD,United States
air algerie,AH,DAH,Algeria
adam air,KI,DHI,Indonesia
air dolomiti,EN,DLA,Italy
aeroflot-don,D9,DNV,Russia
air madrid,NM,DRD,Spain
aer lingus,EI,EIN,Ireland
air finland,OF,FIF,Finland
airfix aviation,,FIX,Finland
air pacific,FJ,FJI,Fiji
atlantic airways,RC,FLI,Faroe Islands
air florida,QH,FLZ,United States
air iceland,NY,FXI,Iceland
air philippines,2P,GAP,Philippines
air guinee express,2U,GIP,Guinea
air greenland,GL,GRL,Denmark
atlas air,5Y,GTI,United States
air guyane,GG,GUY,French Guiana
air bagan,W9,JAB,Myanmar
air canada jazz,QK,JZA,Canada
atlasjet,KK,KKK,Turkey
air koryo,JS,KOR,Democratic People's Republic of Korea
air astana,KC,KZR,Kazakhstan
albanian airlines,LV,LBC,Albania
air alfa,,LFA,Turkey
aerolane,XL,LNE,Ecuador
atlantis european airways,TD,LUR,Armenia
air luxor,LK,LXR,Portugal
air mauritius,MK,MAU,Mauritius
air madagascar,MD,MDG,Madagascar
air moldova,9U,MLD,Moldova
air plus comet,A7,MPD,Spain
astair,8D,,Russian Federation
aero contractors,AJ,NIG,Nigeria
aeropelican air services,OT,PEL,Australia
aer arann,RE,REA,Ireland
air austral,UU,REU,France
asian spirit,6K,RIT,Philippines
air afrique,RK,RKA,Ivory Coast
airlinair,A5,RLA,France
aero lanka,QL,RLN,Sri Lanka
air salone,20,RNE,Sierra Leone
armavia,U8,RNV,Armenia
aerorep,P5,RPB,Colombia
aero-service,BF,RSR,Republic of the Congo
aerosur,5L,RSU,Bolivia
aeronorte,,RTE,Portugal
avient aviation,Z3,SMJ,Zimbabwe
aircompany yakutia,R3,SYL,Russia
aeromar,VW,TAO,Mexico
arkefly,OR,TFL,Netherlands
airlines png,CG,TOK,Papua New Guinea
airtran airways,FL,TRS,United States
air transat,TS,TSC,Canada
avialeasing aviation company,EC,TWN,Uzbekistan
tyrolean airways,VO,TYR,Austria
aerolineas galapagos (aerogal),2K,GLG,Ecuador
alrosa mirny air enterprise,6R,DRU,Russia
british airways,BA,BAW,United Kingdom
biman bangladesh airlines,BG,BBC,Bangladesh
belair airlines,4T,BHP,Switzerland
bahamasair,UP,BHS,Bahamas
balkan bulgarian airlines,LZ,,
british international helicopters,BS,BIH,United Kingdom
bf-lento oy,,BKF,Finland
bangkok airways,PG,BKP,Thailand
blue1,KF,BLF,Finland
baltic airlines,,BLL,Russia
bearskin lake air service,JV,BLS,Canada
bellview airlines,B3,BLV,Nigeria
bmi,BD,BMA,United Kingdom
bmibaby,WW,BMI,United Kingdom
bemidji airlines,CH,BMJ,United States
british midland regional,,BMR,United Kingdom
blue panorama airlines,BV,BPA,Italy
budapest aircraft services/manx2,,BPS,Hungary
bering air,8E,BRG,United States
brazilian air force,,BRS,Brazil
belavia belarusian airlines,B2,BRU,Belarus
metro batavia,7P,BTV,Indonesia
berjaya air,J8,BVT,Malaysia
blue wings,QW,BWG,Germany
brit air,DB,BZH,France
brussels airlines,SN,DAT,Belgium
binter canarias,NT,IBB,Spain
blue air,0B,JOR,Romania
british mediterranean airways,KJ,LAJ,United Kingdom
bulgaria air,FB,LZB,Bulgaria
barents airlink,8N,NKF,Sweden
cal cargo air lines,5C,ICL,Israel
calima aviacion,XG,CLI,Spain
canadian airlines,CP,CDN,Canada
canadian north,5T,MPE,Canada
cape air,9K,KAP,United States
caribbean airlines,BW,BWA,Trinidad and Tobago
carpatair,V3,KRP,Romania
caspian airlines,RV,CPN,Iran
cathay pacific,CX,CPA,Hong Kong SAR of China
cayman airways,KX,CAY,Cayman Islands
cebu pacific,5J,CEB,Philippines
central connect airlines,,CCG,Czech Republic
centralwings,C0,CLW,Poland
charter air,,CHW,Austria
chautauqua airlines,RP,CHQ,United States
china airlines,CI,CAL,Taiwan
china eastern airlines,MU,CES,China
china southern airlines,CZ,CSN,China
china united airlines,HR,CUA,China
